Prompt;Category;Challenge;Note;Index
a statue;Artifacts;Basic;;131
a logo;Illustrations;Basic;;132
a circular logo;Illustrations;Basic;;133
a coffee mug;Artifacts;Basic;;134
a pig;Animals;Basic;;135
a squirrel;Animals;Basic;;136
a hammer;Artifacts;Basic;;137
a screwdriver;Artifacts;Basic;;138
a handsaw;Artifacts;Basic;;139
a power drill;Artifacts;Basic;;140
a cocktail;Food & Beverage;Basic;;141
a margarita;Food & Beverage;Basic;;142
an avocado;Produce & Plants;Basic;;143
a kitchen;Indoor Scenes;Basic;;144
an iPhone case;Artifacts;Basic;;145
a coffee maker;Artifacts;Basic;;146
a banana;Produce & Plants;Basic;;147
a violin;Artifacts;Basic;;148
a room;Indoor Scenes;Basic;;149
a mountain;Outdoor Scenes;Basic;;150
a bird;Animals;Basic;;151
a TV;Artifacts;Basic;;152
a Christmas tree;Artifacts;Basic;;153
The Statue of Liberty;World Knowledge;Basic;;154
the Eiffel Tower;World Knowledge;Basic;;155
a zebra;Animals;Basic;;156
the city of London;World Knowledge;Basic;;157
a koi fish;Animals;Basic;;158
a pineapple;Produce & Plants;Basic;;159
a toaster;Artifacts;Basic;;160
a sign;Artifacts;Basic;;161
a red lego block;Artifacts;Basic;;162
teacup;Artifacts;Basic;;163
chair;Artifacts;Basic;;164
waterfall;Outdoor Scenes;Basic;;165
a pirate ship;Vehicles;Basic;;166
a dragon;Animals;Basic;;167
a present;Artifacts;Basic;;168
a bottle;Artifacts;Basic;;169
a book cover;Illustrations;Basic;;170
a sweatshirt;Artifacts;Basic;;171
matching socks;Artifacts;Basic;;172
cash;Artifacts;Basic;;173
a wood cabin;Indoor Scenes;Basic;;174
a clock tower;Artifacts;Basic;;175
a chimpanzee;Animals;Basic;;176
a hat;Artifacts;Basic;;177
sneakers;Artifacts;Basic;;178
a roast turkey;Food & Beverage;Basic;;179
a turkey;Animals;Basic;;180
a plate;Artifacts;Basic;;181
a ladder;Artifacts;Basic;;182
a Tyrannosaurus Rex;Animals;Basic;;183
a Stegasaurus;Animals;Basic;;184
a Triceratops;Animals;Basic;;185
a Styracosaurus;Animals;Basic;;186
a Diplodocus;Animals;Basic;;187
a yellow sticky note;Artifacts;Basic;;188
a ball;Artifacts;Basic;;189
red balls;Artifacts;Basic;;190
an ostrich;Animals;Basic;;191
a stone path;Outdoor Scenes;Basic;;192
a wooden deck;Outdoor Scenes;Basic;;193
an F1 race car;Vehicles;Basic;;194
a taxi;Vehicles;Basic;;195
a road;Outdoor Scenes;Basic;;196
a volcano;Outdoor Scenes;Basic;;197
a large open book;Artifacts;Basic;;198
a living room;Indoor Scenes;Basic;;199
an elephant;Animals;Basic;;200
a tree;Produce & Plants;Basic;;201
a dolphin;Animals;Basic;;202
a rowboat;Vehicles;Basic;;203
a crown;Artifacts;Basic;;204
a pick-up truck;Vehicles;Basic;;205
a key;Artifacts;Basic;;206
a goat;Animals;Basic;;207
a chest;Artifacts;Basic;;208
a coffee table;Artifacts;Basic;;209
toy cars;Artifacts;Basic;;210
a bookshelf;Artifacts;Basic;;211
the moon;Outdoor Scenes;Basic;;212
the Earth;Outdoor Scenes;Basic;;213
the International Space Station;World Knowledge;Basic;;214
the planet Jupiter;Outdoor Scenes;Basic;;215
a tornado;Outdoor Scenes;Basic;;216
a tidal wave;Outdoor Scenes;Basic;;217
a laptop screen;Artifacts;Basic;;218
an airplane;Vehicles;Basic;;219
a butterfly;Animals;Basic;;220
a lizard;Animals;Basic;;221
a turtle;Animals;Basic;;222
an octopus;Animals;Basic;;223
a book;Artifacts;Basic;;224
a moose;Animals;Basic;;225
a kachina doll;World Knowledge;Basic;;226
a doorknocker;Artifacts;Basic;;227
a rabbit;Animals;Basic;;228
orange juice;Food & Beverage;Basic;;229
a green pepper;Food & Beverage;Basic;;230
beer;Food & Beverage;Basic;;231
Times Square;World Knowledge;Basic;;232
the Great Wall;World Knowledge;Basic;;233
the Kremlin;World Knowledge;Basic;;234
a pickup truck;Vehicles;Basic;;235
a shoe;Artifacts;Basic;;236
a plant;Produce & Plants;Basic;;237
a flower;Produce & Plants;Basic;;238
a pair of headphones;Artifacts;Basic;;239
a chemtrail;Outdoor Scenes;Basic;;240
a tennis court;Outdoor Scenes;Basic;;241
a ceiling fan;Indoor Scenes;Basic;;242
a fire hydrant;Artifacts;Basic;;243
a wooden post;Artifacts;Basic;;244
a trash bin;Artifacts;Basic;;245
a piano;Artifacts;Basic;;246
a musical note;Illustrations;Basic;;247
a harp;Artifacts;Basic;;248
a tuba;Artifacts;Basic;;249
The Alamo;World Knowledge;Basic;;250
a windmill;Outdoor Scenes;Basic;;251
the geyser Old Faithful;World Knowledge;Basic;;252
a motorcycle;Vehicles;Basic;;253
a painting of black and white;Illustrations;Basic;;254
the Great Pyramid;World Knowledge;Basic;;255
the Parthenon;World Knowledge;Basic;;256
the Millennium Wheel;World Knowledge;Basic;;257
a marina;Outdoor Scenes;Basic;;258
a team;People;Basic;;259
a child;People;Basic;;260
a man;People;Basic;;261
a woman;People;Basic;;262
a girl;People;Basic;;263
a person;People;Basic;;264
a boy;People;Basic;;265
a boy and a tiger;People;Basic;;266
a family;People;Basic;;267
a father and a son;People;Basic;;268
a portrait of an old man;People;Basic;;269
a portrait of young girl;People;Basic;;270
a scientist;People;Basic;;271
A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands next to a tall stack of books in a library.;Animals;Complex;;272
A solitary figure shrouded in mists peers up from the cobble stone street at the imposing and dark gothic buildings surrounding it. an old-fashioned lamp shines nearby. oil painting.;Arts;Complex;;273
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump and holding a beer on dark stage.;Animals;Complex;;274
Horses pulling a carriage on the moon's surface, with the Statue of Liberty and Great Pyramid in the background. The Planet Earth can be seen in the sky.;World Knowledge;Complex;;275
"A robot painted as graffiti on a brick wall. The words ""Fly an airplane"" are written on the wall. A sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.";Outdoor Scenes;Complex;;276
A warrior wombat holding a sword and shield in a fighting stance. The wombat stands in front of the Arc de Triomphe on a day shrouded mist with the sun high in the sky.;World Knowledge;Complex;;277
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like dogs. All of the dogs are wearing blue turtlenecks.;Illustrations;Complex;;278
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like macaroons. All of the macaroons are wearing cowboy hats.;Illustrations;Complex;;279
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.;Illustrations;Complex;;280
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pandas. All of the pandas are wearing colorful sunglasses.;Illustrations;Complex;;281
A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like pigs. All of the pigs are wearing crowns.;Illustrations;Complex;;282
A richly textured oil painting of a young badger delicately sniffing a yellow rose next to a tree trunk. A small waterfall can be seen in the background.;Arts;Complex;;283
A portrait of a metal statue of a pharaoh wearing steampunk glasses and a leather jacket over a white t-shirt that has a drawing of a space shuttle on it.;World Knowledge;Complex;;284
A photograph of the inside of a subway train. There are frogs sitting on the seats. One of them is reading a newspaper. The window shows the river in the background.;Vehicles;Complex;;285
A photograph of the inside of a subway train. There are lobsters sitting on the seats. One of them is reading a newspaper. The window shows the ocean in the background.;Vehicles;Complex;;286
A photograph of the inside of a subway train. There are raccoons sitting on the seats. One of them is reading a newspaper. The window shows the city in the background.;Vehicles;Complex;;287
A photograph of the inside of a subway train. There are red pandas sitting on the seats. One of them is reading a newspaper. The window shows the jungle in the background.;Vehicles;Complex;;288
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of abstract cubism.;Arts;Complex;;289
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Egyptian tomp hieroglyphics.;Arts;Complex;;290
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Hokusai.;Arts;Complex;;291
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Madhubani art.;Arts;Complex;;292
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pixel art.;Arts;Complex;;293
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pointilism.;Arts;Complex;;294
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Rembrandt.;Arts;Complex;;295
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of traditional Chinese painting.;Arts;Complex;;296
A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.;Arts;Complex;;297
A raccoon wearing formal clothes, wearing a top hat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.;Arts;Complex;;298
a statue of Abraham Lincoln wearing an opaque and shiny astronaut's helmet. The statue sits on the moon, with the planet Earth in the sky.;World Knowledge;Complex;;299
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.;World Knowledge;Complex;;300
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. A shiny VW van with a cityscape painted on it and parked on grass.;World Knowledge;Complex;;301
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. The sloth stands a few feet in front of a shiny VW van. The van has a cityscape painted on it and parked on grass.;World Knowledge;Complex;;302
A DSLR photo of a shiny VW van that has a cityscape painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.;World Knowledge;Complex;;303
a poodle wearing a baseball cap holding a dictionary in hand and writing bonez on a chalkboard;Animals;Complex;;304
a portrait of a statue of anubis with a crown and wearing a yellow t-shirt that has a space shuttle drawn on it;World Knowledge;Complex;;305
an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape. a table on the left, with a golden watch swarmed by ants. a strange fleshy creature in the center of the painting;Arts;Complex;Description of The Persistence of Memory;306
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. A full moon over the city of Los Angeles is in the background at night.;World Knowledge;Complex;;307
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.;World Knowledge;Complex;;308
a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket, flying over the city of Mars. ;World Knowledge;Complex;;309
A photo of the Space Shuttle Endeavor painted yellow and flying over the Earth. The continent of South America is visible.;World Knowledge;Complex;;310
A close-up photo of a wombat wearing a red backpack and raising both arms in the air. Mount Rushmore is in the background.;World Knowledge;Complex;;311
A penguin wearing aviator goggles and flying confidently next to a bemused eagle. ;Animals;Complex;;312
A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.;Animals;Complex;;313
A wall in a royal castle. There are two paintings on the wall. The one on the left a detailed oil painting of the royal raccoon king. The one on the right a detailed oil painting of the royal raccoon queen. A cute dog looking at the two paintings, holding a sign saying 'plz conserve';Indoor Scenes;Complex;;314
A single beam of light enter the room from the ceiling. The beam of light is illuminating an easel. On the easel there is a Rembrandt painting of a raccoon;Indoor Scenes;Complex;;315
The Millennium Wheel next to the Statue of Liberty. The Sagrada Familia church is also visible.;World Knowledge;Complex;;316
A train ride in the monsoon rain in Kerala. With a Koala bear wearing a hat looking out of the window. There is a lot of coconut trees out of the window.;World Knowledge;Complex;;317
A photograph of a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket.;World Knowledge;Complex;;318
An oil painting of two rabbits in the style of American Gothic, wearing the same clothes as in the original.;Arts;Complex;;319
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting;Animals;Complex;;320
A wombat sits in a yellow beach chair, while sipping a martini that is on his laptop keyboard. The wombat is wearing a white panama hat and a floral Hawaiian shirt. Out-of-focus palm trees in the background.;Animals;Complex;;321
"A high-contrast photo of a panda riding a horse. The panda is wearing a wizard hat and is reading a book. The horse is standing on a street against a gray concrete wall. Colorful flowers and the word ""PEACE"" are painted on the wall. Green grass grows from cracks in the street.";Animals;Complex;;322
The buildings of downtown Manhattan situated at below Mount Everest. The Great Pyramid is in the foreground.;World Knowledge;Complex;;323
Anime illustration of the Great Pyramid sitting next to the Parthenon under a blue night sky of roiling energy, exploding yellow stars, and chromatic blue swirls;World Knowledge;Complex;;324
An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu;World Knowledge;Complex;;325
A close-up high-contrast photo of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blue;World Knowledge;Complex;;326
the Sydney Opera House with the Eiffel tower sitting on the right, and Mount Everest rising above;World Knowledge;Complex;;327
Greek statue of a man comforting a cat. The cat has a big head. The man looks angry.;People;Complex;;328
a robot painted as graffiti on a brick wall. a sidewalk is in front of the wall, and grass is growing out of cracks in the concrete.;Outdoor Scenes;Complex;;329
a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket. dslr photograph.;People;Complex;;330
a real flamingo reading a large open book. a big stack of books is piled up next to it. dslr photograph.;Animals;Complex;;331
A photo of a hamburger fighting a hot dog in a boxing ring. The hot dog is tired and up against the ropes.;Food & Beverage;Complex;;332
a blue cow is standing next to a tree with red leaves and yellow fruit. the cow is standing in a field with white flowers. impressionistic painting.;Animals;Complex;;333
A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table;Indoor Scenes;Complex;;334
Photograph of a wall along a city street with a watercolor mural of foxes in a jazz band.;Outdoor Scenes;Complex;;335
A high resolution photo of a donkey in a clown costume giving a lecture at the front of a lecture hall. The blackboard has mathematical equations on it. There are many students in the lecture hall.;Indoor Scenes;Complex;;336
A black dog sitting on a wooden chair. A white cat with black ears is standing up with its paws on the chair.;Animals;Complex;;337
a Saint Bernard standing up with its paws in the air. A young girl is seated on the dog's shoulders.;People;Complex;;338
a photograph of a squirrel holding an arrow above its head and holding a longbow in its left hand;Animals;Complex;;339
An empty fireplace with a television above it. The TV shows a lion hugging a giraffe.;Indoor Scenes;Complex;;340
an invisible man wearing horn-rimmed glasses and a pearl bead necklase while looking at his phone;People;Complex;;341
a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ;Vehicles;Complex;;342
a white rabbit in blue jogging clothes doubled over in pain while a turtle wearing a red tank top dashes confidently through the finish line;Animals;Complex;;343
a hot air balloon with a yin-yang symbol, with the moon visible in the daytime sky;Vehicles;Complex;;344
a photograph of a fiddle next to a basketball on a ping pong table;Artifacts;Complex;;345
a racoon detective using a microscope while riding in a train;Animals;Complex;;346
a photograph of an ostrich wearing a fedora and singing soulfully into a microphone;Animals;Complex;;347
a cream-colored labradoodle wearing glasses and black beret teaching calculus at a blackboard;Animals;Complex;;348
a basketball to the left of two soccer balls on a gravel driveway;Artifacts;Complex;;349
a cat patting a crystal ball with the number 7 written on it in black marker;Animals;Complex;;350
a cat licking a large felt ball with a drawing of the Eiffel Tower on it;World Knowledge;Complex;;351
a giraffe wearing a white bathing suit and carefully stepping to the edge of a diving board and preparing to dive;Animals;Complex;;352
a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs;Artifacts;Complex;;353
a mixed media image with a photograph of a woman with long orange hair over a background that is a sketch of a city skyline;People;Complex;;354
a black and orange yin-yang symbol with tiger's heads instead of circles;Illustrations;Complex;;355
a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave;Arts;Complex;;356
Renaissance portrayals of the Virgin Mary, seated in a loggia. Behind her is a hazy and seemingly isolated landscape imagined by the artist and painted using sfumato.;People;Complex;Description of Mona Lisa;357
Oil-on-canvas painting of a blue night sky with roiling energy. A fuzzy and bright yellow crescent moon shining at the top. Below the exploding yellow stars and radiating swirls of blue, a distant village sits quietly on the right. Connecting earth and sky is a flame-like cypress tree with curling and swaying branches on the left. A church spire rises as a beacon over rolling blue hills;Arts;Complex;Description of The Starry Night;358
Painting of a panic-stricken creature, simultaneously corpselike and reminiscent of a sperm or fetus, whose contours are echoed in the swirling lines of the blood-red sky;Arts;Complex;Description of The Scream;359
a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese;Artifacts;Complex;DALL-E 2;360
a white bird in front of a dinosaur standing by some trees;Outdoor Scenes;Complex;;361
Snow mountain and tree reflection in the lake;Outdoor Scenes;Complex;VQ-Diffusion;362
a white robot, a red robot and a black robot standing together;Artifacts;Complex;;363
a tree reflected in the hood of a blue car;Produce & Plants;Complex;;364
a tree reflected in the sunroof of a blue car;Produce & Plants;Complex;;365
a monarch butterfly hatching from its chrysalis;Animals;Complex;;366
a glass of orange juice to the right of a plate with buttered toast on it;Food & Beverage;Complex;;367
a bottle of beer next to an ashtray with a half-smoked cigarrette;Food & Beverage;Complex;;368
a pineapple with one beer to its left and two beers on its right;Food & Beverage;Complex;;369
a pickup truck with a horse on its left and two dogs on its right;Vehicles;Complex;;370
a brown trash bin with a green compost bin on its left and a blue recycling bin on its right;Artifacts;Complex;;371
a woman with long hair next to a luminescent bird;People;Complex;;372
a tall man stooping down to enter a low red sports car;People;Complex;;373
a black dog jumping up to hug a woman wearing a red sweater;People;Complex;;374
a man and a woman standing in the back up an old pickup truck;People;Complex;;375
a boy sitting on the shoulders of a woman who is wearing an elegant dress;People;Complex;;376
a girl with curly black hair jumping off a boulder;People;Complex;;377
a grandmother reading a book to her grandson and granddaughter;People;Complex;;378
a young woman with glasses reading a thick book at a mahogany desk;People;Complex;;379
a man in a business suit on a ladder that is leaning up against the side of a white house;People;Complex;;380
a man pouring milk into a coffee cup to make a latte with a beatiful design;People;Complex;;381
a woman using a sledgehammer to smash an ice sculpture of a goose;People;Complex;;382
a painting of the mona lisa on a white wall;World Knowledge;Complex;;383
a man eating a glazed donut and a woman eating a chocolate cake;People;Complex;;384
A teddy bear wearing a motorcycle helmet and cape is standing in front of Loch Awe with Kilchurn Castle behind him;World Knowledge;Fine-grained Detail;;385
A teddy bear wearing a motorcycle helmet and cape is driving a speed boat near the Golden Gate Bridge;World Knowledge;Fine-grained Detail;;386
A teddy bear wearing a motorcycle helmet and cape is car surfing on a taxi cab in New York City;World Knowledge;Fine-grained Detail;;387
A teddy bear wearing a motorcycle helmet and cape is riding a motorcycle in Rio de Janeiro with Dois Irmãos in the background;World Knowledge;Fine-grained Detail;;388
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump;Animals;Fine-grained Detail;;389
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a lily pad;Animals;Fine-grained Detail;;390
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a boulder;Animals;Fine-grained Detail;;391
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a stump;Animals;Fine-grained Detail;;392
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a lily pad;Animals;Fine-grained Detail;;393
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a boulder;Animals;Fine-grained Detail;;394
A punk rock platstumppus in a studded leather jacket shouting into a microphone while standing on a stump;Animals;Fine-grained Detail;;395
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a lily pad;Animals;Fine-grained Detail;;396
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a boulder;Animals;Fine-grained Detail;;397
A map of the United States made out sushi. It is on a table next to a glass of red wine.;World Knowledge;Fine-grained Detail;;398
A blue Porsche 356 parked in front of a yellow brick wall;World Knowledge;Fine-grained Detail;;399
A helicopter flies over the Arches National Park.;World Knowledge;Fine-grained Detail;;400
A helicopter flies over the Grand Canyon.;World Knowledge;Fine-grained Detail;;401
A helicopter flies over Yosemite.;World Knowledge;Fine-grained Detail;;402
A sunken ship becomes the homeland of fish.;Vehicles;Fine-grained Detail;;403
 A sloth in a go kart on a race track. The sloth is holding a banana in one hand. There is a banana peel on the track in the background.;Animals;Fine-grained Detail;;404
a photograph of a bird wearing headphones and speaking into a microphone in a recording studio;Animals;Fine-grained Detail;;405
A teddybear on a skateboard in Times Square, doing tricks on a cardboard box ramp.;World Knowledge;Fine-grained Detail;;406
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book. A shiny VW van parked on grass.;World Knowledge;Fine-grained Detail;;407
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book.;Animals;Fine-grained Detail;;408
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.;Animals;Fine-grained Detail;;409
A smiling sloth wearing a leather jacket, a cowboy hat and a kilt.;Animals;Fine-grained Detail;;410
A shiny VW van with a cityscape painted on it and parked on grass.;World Knowledge;Fine-grained Detail;;411
The Statue of Liberty with the Manhattan skyline in the background.;World Knowledge;Fine-grained Detail;;412
a cream colored labradoodle next to a white cat with black-tipped ears;Animals;Fine-grained Detail;;413
The Great Pyramid of Giza situated in front of Mount Everest;World Knowledge;Fine-grained Detail;;414
A photo of a Ming Dynasty vase on a leather topped table.;World Knowledge;Fine-grained Detail;;415
A table full of food. There is a plate of chicken rice, a bowl of bak chor mee, and a bowl of laksa.;Food & Beverage;Fine-grained Detail;;416
A map of the United States with a pin on San Francisco;World Knowledge;Fine-grained Detail;;417
A map of the United States made out of sushi on the table.;World Knowledge;Fine-grained Detail;;418
a cute wooden owl statue holding a large globe of the Earth above its head;Animals;Fine-grained Detail;;419
a photograph of the mona lisa drinking coffee as she has her breakfast. her plate has an omelette and croissant.;People;Fine-grained Detail;;420
the mona lisa wearing a cowboy hat and screaming a punk song into a microphone;People;Fine-grained Detail;;421
a young badger delicately sniffing a yellow rose, richly textured oil painting;Arts;Fine-grained Detail;;422
a photograph of a blue porsche 356 coming around a bend in the road;Vehicles;Fine-grained Detail;;423
fairy cottage with smoke coming up chimney and a squirrel looking from the window;Outdoor Scenes;Fine-grained Detail;;424
purple lego dollhouse with a pool and a swing;Artifacts;Fine-grained Detail;;425
black bearded dog with an injured leg wearing a cone;Animals;Fine-grained Detail;;426
